similarity,combination
1,['Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'TokenSale.sol']
2,['Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'ERC20.sol']
1,['Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'Standard223TokenReceiverMock.sol']
1,['Standard223TokenExample.sol', 'Standard223Token.sol', 'LinkReceiver.sol']
1,['Standard223TokenExample.sol', 'Standard223Token.sol', 'Standard223TokenReceiverTest.sol']
2,['Standard223TokenExample.sol', 'Standard223Token.sol', 'Standard223Receiver.sol']
1,['Standard223TokenExample.sol', 'Standard223Token.sol', 'SmartOracle.sol']
5,['Standard223TokenExample.sol', 'Standard223Token.sol', 'ERC20Basic.sol']
1,['Standard223TokenExample.sol', 'Standard223Token.sol', 'BasicTokenMock.sol']
1,['Standard223TokenExample.sol', 'Standard223Token.sol', 'StandardTokenMock.sol']
3,['Standard223TokenExample.sol', 'Standard223Token.sol', 'StandardToken.sol']
1,['Standard223TokenExample.sol', 'Standard223Token.sol', 'ERC223.sol']
1,['Standard223TokenExample.sol', 'Standard223Token.sol', 'LinkToken.sol']
